word,x_coord,y_coord,word_count
te,-0.46270117,8.322059,188333
i,-0.18994178,8.164247,116609
o,-0.10706255,8.397311,69513
ngā,-1.738821,8.219651,56832
ki,0.4599502,7.6222568,56588
a,13.2457,34.914276,41897
ka,0.0021674205,5.535676,35280
ko,13.413537,51.0722,33165
e,-2.225332,4.6718936,32280
he,-7.6871233,4.37532,23019
tau,3.0226097,0.18128042,18967
me,-4.535231,8.725526,17286
ana,-2.3465633,5.084102,17161
ia,-0.8613046,10.599927,16852
māori,-49.522778,1.87408,14124
atu,0.5093272,6.602338,13589
mai,0.30301267,6.1902337,11889
mō,-9.696955,9.255896,11721
nō,4.150131,1.4546132,10443
ai,-2.2547598,5.589243,9735
hei,-10.2652855,8.754619,9352
ā,-3.0331514,7.2073812,8871
anō,-3.022408,6.5726666,8711
mahi,-50.474365,-24.01217,8175
nā,-8.516624,4.7556205,7917
hoki,-4.0165453,7.9793897,7882
nei,-3.9146993,6.988953,7656
tōna,2.7109065,22.421276,7497
kia,-24.989378,-3.0986202,7448
tana,2.8356874,22.323893,7252
whenua,-67.53368,-10.513745,7200
iwi,18.144485,8.84385,7138
tētahi,-2.9005187,9.013308,6702
tonu,-3.8229234,5.8726554,6621
rātou,9.444994,8.763896,5781
kei,-7.885277,-5.7390423,5654
tēnei,-9.431377,-14.899264,5545
rāua,14.0855255,51.036755,5453
noho,12.179233,-4.1581287,5408
rā,-0.93987125,4.6881742,5170
ake,-4.653766,6.018486,4967
wā,-0.76518786,3.0646083,4932
kōrero,-43.066555,16.538473,4590
ētahi,-9.4568615,-18.045298,4557
nui,-10.944158,-15.522643,4405
haere,9.864299,-6.312103,4291
mea,-7.8240137,4.37811,4190
kua,-6.216094,-16.924032,4032
roto,-5.0632863,-1.6833558,4009
mā,-10.738832,6.9522524,3995
kē,-4.304858,5.4382677,3660
runga,-7.4562516,-1.3496448,3396
tangata,-32.064716,-24.749578,3357
taua,-0.71173525,5.7100534,3318
pākehā,-15.278631,-19.93706,3105
rawa,-7.318003,-18.053822,3081
muri,3.1819265,-2.0356607,3080
ōna,-3.8167677,-18.143637,3036
aotearoa,1.9522244,-29.984089,2941
tū,-19.234507,13.774572,2900
whai,-26.150007,-11.994868,2755
tae,2.9923348,-10.324078,2676
