x_coord,y_coord,word
0.010077227,-1.088248,te
0.042958014,-1.0263679,i
0.031109307,-1.0308707,o
-0.79072046,-0.8499569,ngā
0.13668369,-0.8530964,ki
2.5629363,-1.7381618,a
0.12319608,-0.78136647,ka
3.0430014,-2.0903249,ko
-0.111986004,-0.89537317,e
-0.919092,-1.0972109,he
0.491272,-0.36892614,tau
-0.52424145,-1.0758547,me
-0.11648528,-1.0153664,ana
0.41480967,-1.3220552,ia
-2.6490302,-2.070808,māori
0.13577954,-0.7663162,atu
0.08981108,-0.72623074,mai
-0.43629998,-1.6911864,mō
0.26233986,-0.56252956,nō
-0.09550596,-0.7596352,ai
-0.35764036,-1.6027318,hei
-0.12388938,-1.1511807,ā
-0.5342069,-1.1070534,anō
-2.7267196,-1.2353204,mahi
-0.81103647,-1.1402714,nā
-0.6239343,-1.2200314,hoki
-0.3178483,-1.1987177,nei
0.51973736,-1.262631,tōna
-1.4169303,-1.015088,kia
0.8783353,-1.4018947,tana
-3.6766517,-0.55119467,whenua
3.9668248,0.7688346,iwi
-0.05878925,-1.0660894,tētahi
-0.610508,-1.2664235,tonu
-0.09331699,-0.58279127,rātou
-0.88035506,0.6052239,kei
-1.2104372,-0.41850683,tēnei
3.5330906,-1.9140995,rāua
0.10067364,-0.28948414,noho
0.011880043,-0.78672194,rā
-0.73091924,-0.9784654,ake
-0.5408157,-0.3033212,wā
-1.9022876,-3.7976491,kōrero
-1.429478,-0.183038,ētahi
-1.4965826,-0.060086697,nui
-0.020021219,-0.2413211,haere
-0.854704,-1.1052548,mea
-1.4021183,0.17505978,kua
-0.56926674,-0.08589505,roto
-0.54906535,-0.7587555,mā
-0.6698437,-0.9930176,kē
-0.6261959,-0.043753862,runga
-1.2285472,-1.801077,tangata
-0.040719748,-0.89557886,taua
-2.0524726,-0.2382952,pākehā
-1.5548412,0.0069816876,rawa
-0.11296595,-0.020801917,muri
-1.3976005,0.10843597,ōna
-0.31509605,1.2081445,aotearoa
-0.097502425,-1.3989242,tū
-1.1711212,-0.46160987,whai
-0.42197818,0.12079656,tae
-1.7465922,-0.51053697,kāore
-0.19680247,-1.2018394,arā
0.5259544,0.2522846,pā
0.17935108,2.8415544,whare
3.671675,-0.31014997,rangatira
0.2949542,0.57761574,mate
-1.0720434,-0.3939741,tērā
-0.33980137,0.35739174,tekau
4.1094093,-1.3192675,whānau
-0.62949854,-1.1239482,tā
0.41279072,3.0606894,wāhi
-3.7677717,-1.5282422,kāwanatanga
-1.5879787,0.054135524,ēnei
-2.2407708,-1.8088068,mana
-2.109158,1.0991421,rānei
0.6634415,-2.2649105,tuatahi
-2.1815577,-2.3053195,tikanga
0.17496872,-0.66497976,reira
-1.1530449,-1.2206451,tino
0.08768513,1.8714995,waka
0.43009734,0.065488935,kāinga
-2.9105885,-1.921696,kaupapa
-3.219954,-1.6118742,take
-3.1175303,1.1204056,rua
0.7976971,0.05932031,pakanga
-1.6854855,0.08643762,katoa
-0.93110776,-1.0254322,mau
-1.9167953,-0.38059282,kore
-0.7122952,-1.2655215,riro
-0.4857419,0.08545205,mua
-0.4648062,0.026317056,puta
-1.7339056,-0.7226528,ahakoa
-1.9356767,-2.5494032,ao
-1.8244591,-1.17643,kaha
-0.68670696,0.0066447994,kātahi
4.43892,-1.4338604,tamariki
-0.2199091,-1.9996632,tohu
-1.3601086,-0.64356244,āna
4.2077384,-1.4684392,wahine
0.040045388,-3.3504298,rōpū
-1.9110093,-3.4830685,reo
-1.8165473,2.7521613,kai
2.5233917,2.649557,rohe
-1.9760538,-0.14121555,hunga
-0.16057691,-0.47434017,taha
-0.418741,-2.8473053,kura
0.59614044,-2.0416334,hui
-1.8429952,-0.1098921,noa
-3.1722612,-1.4702593,whakahaere
-1.7361575,0.13895097,tāngata
0.47218546,-1.4776857,ēngari
-1.7777729,-1.4382452,whakaaro
-3.7267506,-1.8049368,ture
-1.7808259,-0.06956234,heoi
-0.6403737,-0.9676812,nāna
-2.145843,-1.5084401,āhua
-0.43313122,-0.23416923,raro
-1.5618477,0.13081582,pērā
0.34057406,-0.94421643,rātau
-1.4907244,0.039492346,maha
4.0673933,0.026191581,ngāti
-2.0481052,0.8529735,kitea
0.7399807,-3.9776728,toa
-2.1785982,-0.15427032,pai
1.6574988,1.2616392,marae
3.1051037,-1.7712888,īngoa
0.873889,-2.2695746,matua
-1.0926389,2.9063437,rākau
-1.6265366,0.22573519,tēnā
0.43671966,-2.2294858,tūranga
1.6115805,3.1082757,awa
-3.7675982,-0.6162608,hoko
-0.55385923,0.5001849,rau
2.5464478,2.6127288,takiwā
3.811706,0.86630696,waikato
1.0483057,-0.6121866,marama
4.0102715,-1.8406051,tama
-0.21201803,-0.035846945,waenganui
-3.9634292,-1.9470795,tiriti
-1.3868908,0.101621315,ō_rātou
-1.3517683,-0.761696,kī
-2.489316,0.9123619,roa
-0.50991714,0.11288508,tīmata
0.020388903,-1.1992539,tētehi
0.5274024,1.4716074,ingoa
0.18089698,0.11269658,tata
-1.8539032,1.1380824,momo
-0.010375062,2.8362215,whakairo
-0.06623736,0.2516357,heke
3.9254775,0.15451252,hapū
-1.4749812,2.4236505,wai
-1.5395219,1.2353978,taonga
-2.7394087,0.84622,kotahi
-2.2392707,-0.005575075,hua
-0.8290639,-1.3072975,tāna
-0.28253332,-1.5829867,whakatūria
-1.560959,-2.867984,tauira
-1.5602179,0.0077189268,ērā
-0.3593292,-0.3483892,pea
-0.7978502,-1.4173468,ora
4.442588,-1.4989227,tāne
-1.0232445,0.102070384,mutu
-0.9018103,-3.7010984,waiata
4.5690985,-1.4968398,wāhine
-1.7184631,0.01119395,nuinga
-1.9121461,1.5335395,hanga
-0.9895852,-2.0647514,whakatū
1.3482124,2.9213614,moana
-3.7766633,-0.5567446,utu
-0.017275304,-0.012676796,rongo
-3.9899628,-1.9948778,waitangi
