word,x_coord,y_coord,word_count,rank
te,-0.46270117,8.322059,188333,1
i,-0.18994178,8.164247,116609,2
o,-0.10706255,8.397311,69513,3
ngā,-1.738821,8.219650999999999,56832,4
ki,0.45995020000000003,7.6222568,56588,5
a,13.2457,34.914276,41897,6
ka,0.0021674205,5.5356760000000005,35280,7
ko,13.413537,51.0722,33165,8
e,-2.225332,4.6718936,32280,9
he,-7.6871233,4.375319999999999,23019,10
tau,3.0226097000000003,0.18128042,18967,11
me,-4.535231,8.725526,17286,12
ana,-2.3465632999999997,5.084102,17161,13
ia,-0.8613046,10.599927000000001,16852,14
māori,-49.522778,1.87408,14124,15
atu,0.5093272,6.6023380000000005,13589,16
mai,0.30301267,6.1902337,11889,17
mō,-9.696955,9.255896,11721,18
nō,4.150131,1.4546132,10443,19
ai,-2.2547598,5.589243,9735,20
hei,-10.2652855,8.754619,9352,21
ā,-3.0331514,7.2073812,8871,22
anō,-3.022408,6.5726666,8711,23
mahi,-50.474365,-24.01217,8175,24
nā,-8.516624,4.7556205,7917,25
hoki,-4.0165453,7.9793897,7882,26
nei,-3.9146992999999997,6.9889529999999995,7656,27
tōna,2.7109064999999997,22.421276000000002,7497,28
kia,-24.989378,-3.0986202,7448,29
tana,2.8356874,22.323892999999998,7252,30
whenua,-67.53368,-10.513745,7200,31
iwi,18.144485,8.84385,7138,32
tētahi,-2.9005187,9.013308,6702,33
tonu,-3.8229233999999996,5.8726554,6621,34
rātou,9.444994,8.763896,5781,35
kei,-7.885277,-5.7390422999999995,5654,36
tēnei,-9.431377000000001,-14.899264000000002,5545,37
rāua,14.085525500000001,51.036755,5453,38
noho,12.179233,-4.158128700000001,5408,39
rā,-0.93987125,4.6881742,5170,40
ake,-4.653766,6.018486,4967,41
wā,-0.76518786,3.0646082999999997,4932,42
kōrero,-43.066555,16.538473,4590,43
ētahi,-9.4568615,-18.045298000000003,4557,44
nui,-10.944158,-15.522642999999999,4405,45
haere,9.864299,-6.312103,4291,46
mea,-7.8240137,4.3781099999999995,4190,47
kua,-6.216094,-16.924032,4032,48
roto,-5.0632863,-1.6833558000000002,4009,49
mā,-10.738832,6.952252400000001,3995,50
kē,-4.304858,5.4382677,3660,51
runga,-7.456251600000001,-1.3496448,3396,52
tangata,-32.064716,-24.749578,3357,53
taua,-0.71173525,5.7100534000000005,3318,54
pākehā,-15.278630999999999,-19.93706,3105,55
rawa,-7.318003,-18.053822,3081,56
muri,3.1819265,-2.0356607,3080,57
ōna,-3.8167677,-18.143637,3036,58
aotearoa,1.9522244,-29.984089,2941,59
tū,-19.234507,13.774572000000001,2900,60
whai,-26.150007000000002,-11.994867999999999,2755,61
tae,2.9923347999999996,-10.324078,2676,62
kāore,-19.348285999999998,-19.512204999999998,2641,63
arā,-3.5037487,9.306986,2631,64
pā,24.63672,-0.3400871,2623,65
whare,35.080203999999995,-42.45678,2611,66
rangatira,37.733486,30.395065000000002,2585,67
mate,19.32508,2.731258,2569,68
tērā,-1.3361253,2.170851,2464,69
tekau,2.6453366000000003,-7.3318553,2398,70
whānau,21.906445,42.079918,2375,71
tā,-9.561031,4.9894595,2360,72
wāhi,41.119617,-38.45112,2355,73
kāwanatanga,-62.562397,-4.6864347,2310,74
ēnei,-9.1974745,-15.382175,2303,75
mana,-45.05807,-1.7163585,2298,76
rānei,-4.153304,-23.281773,2265,77
tuatahi,-7.924755,15.3894415,2237,78
tikanga,-41.867340000000006,-27.900614,2170,79
reira,1.5826788,6.312567700000001,2155,80
tino,-19.839851,-12.937189,2103,81
waka,33.437473,-27.649604999999998,2027,82
kāinga,14.921082,-2.49683,1988,83
kaupapa,-53.446716,-18.291693,1956,84
take,-58.51764,-4.1845016,1949,85
rua,2.928506,-16.187223,1925,86
pakanga,22.510742,-2.1515129,1918,87
katoa,-9.794096000000001,-19.539791,1896,88
mau,-23.247538,-10.590906,1880,89
kore,-20.973707,-19.781216,1853,90
riro,-23.213210999999998,6.787478,1852,91
mua,2.9498496,-2.3257182000000003,1837,92
puta,-1.0320209,-4.5767765,1830,93
ahakoa,-18.087355,-20.80738,1782,94
ao,-39.761494,-25.151442000000003,1739,95
kaha,-24.861439999999998,-24.270794,1734,96
kātahi,-3.2846415,-13.215641,1720,97
tamariki,-1.8869726999999998,20.917866,1717,98
tohu,-4.6153383,-8.040328,1714,99
āna,-10.765527,4.516248,1712,100
wahine,27.487040000000004,46.27967,1711,101
rōpū,-28.915907,38.086933,1710,102
reo,-48.80455,15.428917000000002,1673,103
kai,3.590555,-58.47544,1646,104
rohe,59.54646999999999,-9.209494,1625,105
hunga,-13.929994,-19.277718,1599,106
taha,2.7543104,5.484691000000001,1584,107
kura,-16.591309,32.551376,1530,108
hui,-15.398675,22.575169,1525,109
noa,-14.063548999999998,-25.121385999999998,1506,110
whakahaere,-49.24662,-6.294187,1504,111
tāngata,-12.698005,-19.420425,1502,112
ēngari,-0.38192168,13.384031,1469,113
whakaaro,-29.529226,-7.066859,1448,114
ture,-58.200943,-2.3769894,1444,115
heoi,-16.83301,-22.569792,1354,116
nāna,-8.659450999999999,5.4838276,1339,117
āhua,-26.484552,-27.849777000000003,1330,118
raro,-7.188078999999999,-0.8926752,1327,119
pērā,-10.379078,-22.305172,1323,120
rātau,9.902121000000001,11.41667,1318,121
maha,-11.245894999999999,-16.905197,1307,122
ngāti,46.9805,31.810779999999998,1258,123
kitea,-26.837845,-34.45214,1253,124
toa,-23.25165,27.816994,1248,125
pai,-22.17999,-27.301064,1240,126
marae,-10.836162,21.436806,1217,127
īngoa,17.8536,47.796898,1175,128
matua,-1.0494165000000002,41.579704,1163,129
rākau,12.977019,-48.48066,1147,130
tēnā,-8.705414999999999,-24.324270000000002,1136,131
tūranga,-20.798776999999998,40.855391999999995,1133,132
awa,49.689457,-18.306126000000003,1126,133
hoko,-64.37044499999999,-12.359519,1122,134
rau,1.6236344999999999,-7.142964999999999,1117,135
takiwā,59.513484999999996,-8.888615,1108,136
waikato,39.453747,22.423388,1105,137
marama,26.887701,7.6185274000000005,1105,138
tama,23.368954000000002,51.995740000000005,1103,139
waenganui,18.005173000000003,-3.066936,1091,140
tiriti,-66.31818,0.011047981,1086,141
ō_rātou,9.887696,8.936573,1069,142
kī,-18.14176,-7.936328,1060,143
roa,-0.22002001,-16.563822000000002,1044,144
tīmata,6.6826005,-7.712511500000001,1043,145
tētehi,-6.961805,8.544051,1036,146
ingoa,38.194077,-27.690640000000002,1032,147
tata,42.091946,-8.334425999999999,1025,148
momo,-34.13543,-38.378857,1021,149
whakairo,10.238925,-40.966484,1020,150
heke,9.897269,-2.5655947,1002,151
hapū,45.17311,32.759068,997,152
wai,6.6279073,-51.619704999999996,995,153
taonga,13.837608,-44.23064,990,154
kotahi,2.3937364,-17.21565,989,155
hua,-12.786678,-47.32398,984,156
tāna,-10.140116,4.9581203,984,157
whakatūria,-22.03183,12.24595,975,158
tauira,-37.349464000000005,-37.639957,972,159
ērā,-9.538436,-18.223389,965,160
pea,-0.10379238,0.41650614,963,161
ora,-13.287211,6.960219400000001,962,162
tāne,27.14501,45.815459999999995,962,163
mutu,-3.8218882000000005,-14.690742499999999,961,164
waiata,-37.72724,20.288185000000002,957,165
wāhine,25.964603,43.83278,953,166
nuinga,-9.843481,-19.215920999999998,948,167
hanga,6.6035843,-41.761016999999995,946,168
whakatū,-33.59512,7.113817699999999,946,169
moana,46.205593,-22.876495000000002,941,170
utu,-64.34863,-16.735703,931,171
rongo,17.46953,-7.568999000000001,929,172
waitangi,-66.33524,-0.002390567,920,173
tono,-27.083090000000002,-1.2083153999999998,912,174
aua,-9.062575,-17.053131,891,175
motu,3.157359,-28.086336,891,176
tohunga,10.955136,-31.56418,890,177
uru,10.675855,-9.428253,878,178
hōia,15.469474,16.780897,878,179
tāone,7.2676444,-25.209570000000003,871,180
whakaatu,-38.08914,10.730851,848,181
tuku,-27.837574,2.8731816,842,182
taea,-19.601341,-27.922459999999997,835,183
taranaki,40.432896,22.4313,831,184
kupu,-42.820859999999996,15.907226999999999,807,185
āwhina,-34.41248,-0.96880746,800,186
wāhanga,-26.080263000000002,16.62939,795,187
tonga,57.252224,-11.942603,794,188
ngāi_tahu,61.081996999999994,14.274593,768,189
riri,22.070677,-2.2529542,766,190
whawhai,23.134695,-2.0407276000000003,763,191
manu,4.319518599999999,-50.843884,759,192
moni,-63.849486999999996,-17.82501,758,193
whakaae,-26.405490000000004,-2.3524494,756,194
mema,-26.00372,43.20748,749,195
hou,-50.110786,-33.911995000000005,746,196
tō_rātou,9.773341,8.908074000000001,744,197
rangi,8.471084,0.5392176,744,198
toi,-37.250996,-37.654034,739,199
pū,22.229277,-13.036926,739,200
uri,42.525978,32.996643,738,201
tō,-6.8202953,-23.653316,736,202
tahi,-5.008278400000001,12.554635000000001,732,203
hiahia,-29.236603000000002,-7.267825,725,204
moe,23.727567999999998,48.685992999999996,724,205
kīia,-11.369280999999999,-6.935063400000001,717,206
mātauranga,-48.183445,-20.927269,705,207
rere,26.90039,-14.258564999999999,701,208
tautoko,-35.644314,-2.2406792999999996,699,209
