word,x_coord,y_coord,word_count,rank
te,0.010077227,-1.088248,188333,1
i,0.042958014,-1.0263679,116609,2
o,0.031109307000000006,-1.0308707,69513,3
ngā,-0.79072046,-0.8499568999999999,56832,4
ki,0.13668369,-0.8530964,56588,5
a,2.5629363,-1.7381618000000003,41897,6
ka,0.12319608,-0.78136647,35280,7
ko,3.0430014,-2.0903249,33165,8
e,-0.111986004,-0.89537317,32280,9
he,-0.919092,-1.0972109,23019,10
tau,0.491272,-0.36892614,18967,11
me,-0.52424145,-1.0758546999999998,17286,12
ana,-0.11648528,-1.0153664,17161,13
ia,0.41480967,-1.3220552,16852,14
māori,-2.6490302000000003,-2.070808,14124,15
atu,0.13577954,-0.7663161999999999,13589,16
mai,0.08981108,-0.72623074,11889,17
mō,-0.43629998,-1.6911864,11721,18
nō,0.26233986,-0.56252956,10443,19
ai,-0.09550596,-0.7596352,9735,20
hei,-0.35764036,-1.6027318000000002,9352,21
ā,-0.12388938,-1.1511806999999998,8871,22
anō,-0.5342069,-1.1070534,8711,23
mahi,-2.7267196,-1.2353204,8175,24
nā,-0.81103647,-1.1402714,7917,25
hoki,-0.6239343,-1.2200314,7882,26
nei,-0.3178483,-1.1987177,7656,27
tōna,0.51973736,-1.262631,7497,28
kia,-1.4169303,-1.015088,7448,29
tana,0.8783353000000002,-1.4018947,7252,30
whenua,-3.6766517,-0.55119467,7200,31
iwi,3.9668248,0.7688345999999999,7138,32
tētahi,-0.05878925,-1.0660894,6702,33
tonu,-0.6105079999999999,-1.2664235,6621,34
rātou,-0.09331699,-0.58279127,5781,35
kei,-0.88035506,0.6052239,5654,36
tēnei,-1.2104372,-0.41850683,5545,37
rāua,3.5330906000000004,-1.9140995,5453,38
noho,0.10067364,-0.28948414,5408,39
rā,0.011880043,-0.78672194,5170,40
ake,-0.73091924,-0.9784654,4967,41
wā,-0.5408156999999999,-0.3033212,4932,42
kōrero,-1.9022876,-3.7976491,4590,43
ētahi,-1.429478,-0.183038,4557,44
nui,-1.4965826,-0.060086697,4405,45
haere,-0.020021219,-0.2413211,4291,46
mea,-0.8547040000000001,-1.1052548,4190,47
kua,-1.4021183000000002,0.17505978,4032,48
roto,-0.56926674,-0.08589505,4009,49
mā,-0.54906535,-0.7587555,3995,50
kē,-0.6698437,-0.9930176,3660,51
runga,-0.6261959,-0.043753862,3396,52
tangata,-1.2285472,-1.801077,3357,53
taua,-0.040719748,-0.89557886,3318,54
pākehā,-2.0524726,-0.2382952,3105,55
rawa,-1.5548412,0.0069816876000000005,3081,56
muri,-0.11296595,-0.020801917,3080,57
ōna,-1.3976005,0.10843597,3036,58
aotearoa,-0.31509605,1.2081445,2941,59
tū,-0.097502425,-1.3989242,2900,60
whai,-1.1711212,-0.46160987,2755,61
tae,-0.42197818,0.12079656,2676,62
kāore,-1.7465921999999998,-0.51053697,2641,63
arā,-0.19680247,-1.2018394,2631,64
pā,0.5259543999999999,0.2522846,2623,65
whare,0.17935108,2.8415544,2611,66
rangatira,3.671675,-0.31014997,2585,67
mate,0.2949542,0.57761574,2569,68
tērā,-1.0720434,-0.3939741,2464,69
tekau,-0.33980137,0.35739174,2398,70
whānau,4.1094093,-1.3192675,2375,71
tā,-0.62949854,-1.1239482,2360,72
wāhi,0.41279072,3.0606894,2355,73
kāwanatanga,-3.7677717,-1.5282421999999998,2310,74
ēnei,-1.5879787,0.054135524,2303,75
mana,-2.2407708,-1.8088068,2298,76
rānei,-2.1091580000000003,1.0991421,2265,77
tuatahi,0.6634415,-2.2649105,2237,78
tikanga,-2.1815577,-2.3053195,2170,79
reira,0.17496872,-0.66497976,2155,80
